"rank","movie.name","movie.cast","movie.link","year","votes","rating"
150,"V de Vingan<U+00E7>a","James McTeigue (dir.), Hugo Weaving, Natalie Portman","http://www.imdb.com/title/tt0434409/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_150","2005",902411,8.1
151,"Blade Runner, o Ca<U+00E7>ador de Andr<U+00F3>ides","Ridley Scott (dir.), Harrison Ford, Rutger Hauer","http://www.imdb.com/title/tt0083658/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_151","1982",582977,8.1
152,"Morangos Silvestres","Ingmar Bergman (dir.), Victor Sj<U+00F6>str<U+00F6>m, Bibi Andersson","http://www.imdb.com/title/tt0050986/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_152","1957",77083,8.1
153,"Guerreiro","Gavin O'Connor (dir.), Tom Hardy, Nick Nolte","http://www.imdb.com/title/tt1291584/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_153","2011",381978,8.1
154,"General","Clyde Bruckman (dir.), Buster Keaton, Marion Mack","http://www.imdb.com/title/tt0017925/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_154","1926",66280,8.1
155,"Bancando o <U+00C1>guia","Buster Keaton (dir.), Buster Keaton, Kathryn McGuire","http://www.imdb.com/title/tt0015324/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_155","1924",27172,8.1
156,"Disque M para Matar","Alfred Hitchcock (dir.), Ray Milland, Grace Kelly","http://www.imdb.com/title/tt0046912/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_156","1954",130445,8.1
157,"Trainspotting - Sem Limites","Danny Boyle (dir.), Ewan McGregor, Ewen Bremner","http://www.imdb.com/title/tt0117951/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_157","1996",556286,8.1
158,"...E o Vento Levou","Victor Fleming (dir.), Clark Gable, Vivien Leigh","http://www.imdb.com/title/tt0031381/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_158","1939",248872,8.1
159,"Onde os Fracos n<U+00E3>o T<U+00EA>m Vez","Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem","http://www.imdb.com/title/tt0477348/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_159","2007",714123,8.1
